,title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
0,4bdrm Duplex in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,280000000.0,premium,1800.0,4.0,2.0,Unfurnished
1,"Furnished 4bdrm Duplex in Idado, Lekki Phase1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,250000000.0,enterprise,500.0,4.0,4.0,Furnished
2,"3bdrm Bungalow in Abijo Oluwa, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,10000000.0,vip_gold,350.0,3.0,3.0,Semi-Furnished
3,"Furnished 3bdrm Block of Flats in Abijo, Labora, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,56000000.0,vip_gold,650.0,3.0,3.0,Furnished
4,"Furnished 4bdrm Duplex in Ikota Gra, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,140000000.0,vip_gold,180.0,4.0,4.0,Furnished
5,"3bdrm Bungalow in Abijo Gra Ext, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,65000000.0,vip_gold,650.0,3.0,3.0,Unfurnished
6,2bdrm Bungalow in Ita Oluwo for sale,"Ikorodu, Ita Oluwo",Ita Oluwo,Ikorodu,17000000.0,False,3345.0,2.0,3.0,Unfurnished
7,"Furnished 3bdrm Block of Flats in Abijo Gra, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,48000000.0,vip_gold,330.0,3.0,3.0,Furnished
8,"Furnished 2bdrm Block of Flats in Beside Mayfair, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,95000000.0,vip_gold,650.0,2.0,2.0,Furnished
9,"Furnished 4bdrm Duplex in Victory Villa Estate, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,180000000.0,vip_gold,650.0,4.0,4.0,Furnished
10,"3bdrm Duplex in Abijo, Off Flourish, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,120000000.0,vip_gold,650.0,3.0,3.0,Unfurnished
11,"4bdrm Block of Flats in Abijo Victory Villa, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,18000000.0,vip_gold,334.0,4.0,4.0,Unfurnished
12,"4bdrm Duplex in Abijo, Amity Estate, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,76000000.0,vip_gold,400.0,4.0,4.0,Unfurnished
13,"Furnished 3bdrm Block of Flats in Abijo, Tulipa Court, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,52000000.0,vip_gold,500.0,3.0,3.0,Furnished
14,"3bdrm Duplex in Abijo, Geenpark, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,58000000.0,vip_gold,230.0,3.0,3.0,Unfurnished
15,2bdrm Apartment in Abule Egba for sale,"Lagos State, Abule Egba",Abule Egba,Lagos State,70000000.0,False,100.0,2.0,2.0,Unfurnished
16,3bdrm Maisonette in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,410000000.0,enterprise,300.0,3.0,3.0,Unfurnished
17,5bdrm Bungalow in Abeokuta South for sale,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,30000000.0,False,590.0,5.0,5.0,Unfurnished
18,"3bdrm Bungalow in Pentville Estate, Lokogoma for sale","Abuja (Fct), Lokogoma",Lokogoma,Abuja (Fct),99999999.0,False,1500.0,3.0,3.0,Semi-Furnished
19,2bdrm Apartment in Sangotedo for sale,"Ajah, Sangotedo",Sangotedo,Ajah,55000000.0,enterprise,800.0,2.0,2.0,Unfurnished
20,Furnished 2bdrm Apartment in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,140000000.0,enterprise,1500.0,2.0,2.0,Furnished
21,"4bdrm Duplex in Lekki County Homes, Ikota for sale","Lekki, Ikota",Ikota,Lekki,100000000.0,enterprise,800.0,4.0,4.0,Unfurnished
22,"5bdrm Duplex in Harris Drive, VGC / Ajah for sale","Ajah, Vgc / Ajah",Vgc / Ajah,Ajah,320000000.0,enterprise,600.0,5.0,5.0,Unfurnished
23,"4bdrm Duplex in Harris Drive, VGC / Ajah for sale","Ajah, Vgc / Ajah",Vgc / Ajah,Ajah,195000000.0,enterprise,500.0,4.0,4.0,Unfurnished
24,"4bdrm Duplex in Harris Drive, VGC / Ajah for sale","Ajah, Vgc / Ajah",Vgc / Ajah,Ajah,160000000.0,enterprise,1500.0,4.0,4.0,Unfurnished
25,"2bdrm Apartment in Harris Drive, VGC / Ajah for sale","Ajah, Vgc / Ajah",Vgc / Ajah,Ajah,95000000.0,enterprise,1000.0,2.0,2.0,Unfurnished
26,3bdrm Duplex in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,195000000.0,enterprise,900.0,3.0,3.0,Unfurnished
27,20bdrm Block of Flats in Agege for sale,"Lagos State, Agege",Agege,Lagos State,60000000.0,False,1500.0,20.0,20.0,Unfurnished
28,5bdrm Duplex in Lekki Palm City for sale,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,270000000.0,enterprise,300.0,5.0,6.0,Semi-Furnished
29,"4bdrm Duplex in Orchid, Ikota for sale","Lekki, Ikota",Ikota,Lekki,110000000.0,enterprise,1730.0,4.0,4.0,Unfurnished
30,"4bdrm Duplex in Atlantic Estate, Abraham Adesanya for sale","Surulere, Abraham Adesanya",Abraham Adesanya,Surulere,120000000.0,enterprise,300.0,4.0,4.0,Unfurnished
31,"3bdrm Apartment in Cromwell Court, Chevron for sale","Lekki, Chevron",Chevron,Lekki,145000000.0,enterprise,400.0,3.0,3.0,Unfurnished
32,2bdrm Apartment in Spg Road Ikate for sale,"Lekki, Ikate",Ikate,Lekki,200000000.0,enterprise,300.0,2.0,2.0,Unfurnished
33,Furnished 11bdrm Chalet in Oshimili South for sale,"Delta State, Oshimili South",Oshimili South,Delta State,220000000.0,basic,2008.0,11.0,12.0,Furnished
34,12bdrm Block of Flats in Behind Fidelity/Nasu for sale,"Oyo State, Ibadan",Ibadan,Oyo State,150000000.0,diamond,750.0,12.0,13.0,Unfurnished
35,"4bdrm Mansion in 3Rd Extension Gra, Ado Ekiti for sale","Ekiti State, Ado Ekiti",Ado Ekiti,Ekiti State,45000000.0,False,1000.0,4.0,5.0,Semi-Furnished
36,"4bdrm Duplex in Dpk Estate Orchid, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,370000000.0,False,500.0,4.0,4.0,Semi-Furnished
37,"Furnished 5bdrm Duplex in Almond Garden Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,290000000.0,enterprise,500.0,5.0,6.0,Furnished
38,"Furnished 4bdrm Duplex in Almond Garden, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,220000000.0,enterprise,550.0,4.0,5.0,Furnished
39,"Furnished 5bdrm Duplex in Jedediah Extension, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,180000000.0,enterprise,500.0,5.0,6.0,Furnished
40,"Furnished 4bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,390000000.0,enterprise,500.0,4.0,5.0,Furnished
41,"Furnished 3bdrm Bungalow in Citi Ville, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,110000000.0,enterprise,500.0,3.0,3.0,Furnished
42,"Furnished 6bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,350000000.0,enterprise,500.0,6.0,7.0,Furnished
43,"Furnished 5bdrm Duplex in New Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,310000000.0,enterprise,600.0,5.0,6.0,Furnished
44,"Furnished 5bdrm Duplex in Transekulu, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,320000000.0,enterprise,600.0,5.0,6.0,Furnished
45,"Furnished 4bdrm Duplex in Crystal Garden Court, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,800.0,4.0,5.0,Furnished
46,"Furnished 5bdrm Duplex in Spotters, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,800.0,5.0,6.0,Furnished
47,"Furnished 4bdrm Duplex in City Ville, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,165000000.0,enterprise,500.0,4.0,5.0,Furnished
48,"Furnished 5bdrm Duplex in Ap, Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,220000000.0,enterprise,600.0,5.0,6.0,Furnished
49,"Furnished 4bdrm Duplex in Conraw Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,120000000.0,enterprise,600.0,4.0,5.0,Furnished
50,"Furnished 4bdrm Duplex in Helui Gated Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,210000000.0,enterprise,600.0,4.0,5.0,Furnished
51,"Furnished 3bdrm Duplex in Emene, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,115000000.0,enterprise,500.0,3.0,4.0,Furnished
52,"Furnished 2bdrm Bungalow in Conraw Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,33000000.0,enterprise,500.0,2.0,3.0,Furnished
53,"Furnished 3bdrm Bungalow in Phase 6 Extension, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,58000000.0,enterprise,500.0,3.0,4.0,Furnished
54,"Furnished 4bdrm Duplex in Penoks, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,129000000.0,enterprise,500.0,4.0,5.0,Furnished
55,"Furnished 4bdrm Duplex in Emene, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,155000000.0,enterprise,500.0,4.0,5.0,Furnished
56,"Furnished 3bdrm Block of Flats in Thinkers Corner, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,260000000.0,enterprise,750.0,3.0,4.0,Furnished
57,"Furnished 5bdrm Duplex in Wtc, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,200000000.0,enterprise,500.0,5.0,6.0,Furnished
58,4bdrm Duplex in Star Gate Oluyole for sale,"Ibadan, Oluyole Estate",Oluyole Estate,Ibadan,190000000.0,enterprise,450.0,4.0,4.0,Semi-Furnished
59,"Furnished 5bdrm Duplex in New Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,160000000.0,enterprise,500.0,5.0,6.0,Furnished
60,"Furnished 4bdrm Duplex in Agric Bank,, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,230000000.0,enterprise,500.0,4.0,5.0,Furnished
61,"Furnished 4bdrm Duplex in Goshen Estate,, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,230000000.0,enterprise,500.0,4.0,5.0,Furnished
62,"Furnished 4bdrm Duplex in Helui Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,600.0,4.0,4.0,Furnished
63,"Furnished 4bdrm Duplex in Republic Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,280000000.0,enterprise,500.0,4.0,5.0,Furnished
64,"Furnished 3bdrm Bungalow in Almond Garden In, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,110000000.0,enterprise,500.0,3.0,4.0,Furnished
65,"Furnished 4bdrm Duplex in Lomalinda Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,100000000.0,enterprise,500.0,4.0,5.0,Furnished
67,Furnished 4bdrm Duplex in Ap Garden Centenary Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,150000000.0,enterprise,550.0,4.0,5.0,Furnished
68,"Furnished 6bdrm Duplex in Elshama Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,280000000.0,enterprise,540.0,6.0,7.0,Furnished
69,"Furnished 4bdrm Duplex in Citi Ville, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,180000000.0,enterprise,500.0,4.0,5.0,Furnished
70,"3bdrm Duplex in Sunrise Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,75000000.0,enterprise,450.0,3.0,4.0,Semi-Furnished
71,"Furnished 5bdrm Duplex in Phase 6Extension, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,110000000.0,enterprise,560.0,5.0,6.0,Furnished
72,"Furnished 4bdrm Duplex in Old Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,650000000.0,enterprise,2400.0,4.0,5.0,Furnished
73,"Furnished 4bdrm Bungalow in Brw Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,75000000.0,enterprise,500.0,4.0,5.0,Furnished
74,"2bdrm Bungalow in Breden, Karu for sale","Abuja (Fct), Karu",Karu,Abuja (Fct),35000000.0,False,500.0,2.0,3.0,Semi-Furnished
75,"Furnished 9bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,450000000.0,enterprise,1000.0,9.0,10.0,Furnished
76,"Furnished 4bdrm Bungalow in New Heaven Extension, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,85000000.0,enterprise,500.0,4.0,5.0,Furnished
77,"Furnished 4bdrm Duplex in Almond Garden, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,145000000.0,enterprise,500.0,4.0,5.0,Furnished
78,"Furnished 4bdrm Duplex in Centenary, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,600.0,4.0,4.0,Furnished
79,"Furnished 4bdrm Duplex in New Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,155000000.0,enterprise,500.0,4.0,5.0,Furnished
80,"Furnished 4bdrm Duplex in Ivory Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,500.0,4.0,5.0,Furnished
81,"Furnished 4bdrm Duplex in Promise Land Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,240000000.0,enterprise,500.0,4.0,5.0,Furnished
82,"Furnished 3bdrm Bungalow in Legacy Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,70000000.0,enterprise,500.0,3.0,4.0,Furnished
83,"Furnished 4bdrm Bungalow in Legacy Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,90000000.0,enterprise,600.0,4.0,5.0,Furnished
84,Furnished 3bdrm Block of Flats in Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,220000000.0,enterprise,750.0,3.0,4.0,Furnished
85,"Furnished 5bdrm Duplex in New Heaven, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,240000000.0,enterprise,500.0,5.0,6.0,Furnished
86,"Furnished 5bdrm Duplex in New Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,150000000.0,enterprise,500.0,5.0,6.0,Furnished
87,Furnished 4bdrm Duplex in Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,350000000.0,enterprise,500.0,4.0,5.0,Furnished
88,"Furnished 4bdrm Bungalow in Almond Garden Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,130000000.0,enterprise,500.0,4.0,5.0,Furnished
89,Furnished 4bdrm Duplex in Diamond City Estate for sale,"Enugu State, Enugu",Enugu,Enugu State,230000000.0,enterprise,600.0,4.0,5.0,Furnished
90,5bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,520000000.0,vip_gold,500.0,5.0,5.0,Unfurnished
91,"Furnished 4bdrm Duplex in Penoks, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,130000000.0,enterprise,500.0,4.0,5.0,Furnished
92,Furnished 4bdrm Duplex in Helui Estate Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,290000000.0,enterprise,500.0,4.0,5.0,Furnished
93,"Furnished 3bdrm Bungalow in Almond Gardens, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,100000000.0,enterprise,500.0,3.0,4.0,Furnished
94,"Furnished 4bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,500.0,4.0,5.0,Furnished
95,"Furnished 4bdrm Duplex in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,180000000.0,enterprise,600.0,4.0,5.0,Furnished
96,"Furnished 6bdrm Duplex in Lily Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,500000000.0,enterprise,1000.0,6.0,7.0,Furnished
97,"Furnished 4bdrm Duplex in Thinkers Corner, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,500.0,4.0,5.0,Furnished
98,"7bdrm Duplex in Liberty Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,900.0,7.0,8.0,Semi-Furnished
99,"Furnished 5bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,450000000.0,enterprise,1000.0,5.0,6.0,Furnished
100,"Furnished 3bdrm Block of Flats in New Heaven Extension, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,120000000.0,enterprise,500.0,3.0,4.0,Furnished
101,"Furnished 5bdrm Duplex in Chime Estate,, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,200000000.0,enterprise,600.0,5.0,6.0,Furnished
102,"Furnished 2bdrm Block of Flats in Goshen Estate,, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,110000000.0,enterprise,500.0,2.0,3.0,Furnished
103,"Furnished 5bdrm Duplex in Bricks Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,600.0,5.0,6.0,Furnished
104,"Furnished 5bdrm Duplex in Bricks, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,200000000.0,enterprise,700.0,5.0,6.0,Furnished
105,"Furnished 4bdrm Duplex in Thinkers Corner, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,220000000.0,enterprise,500.0,4.0,5.0,Furnished
106,"Furnished 4bdrm Duplex in Valley Estate, Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,210000000.0,enterprise,500.0,4.0,5.0,Furnished
107,5bdrm Duplex in New Oko Oba for sale,"Agege, New Oko Oba",New Oko Oba,Agege,330000000.0,False,155.0,5.0,6.0,Unfurnished
108,18bdrm Block of Flats in Surulere for sale,"Lagos State, Surulere",Surulere,Lagos State,290000000.0,False,550.0,18.0,12.0,Unfurnished
109,"Furnished 4bdrm Duplex in Godfrey, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,150000000.0,enterprise,50.0,4.0,5.0,Furnished
110,"Furnished 4bdrm Duplex in Penok, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,130000000.0,enterprise,500.0,4.0,5.0,Furnished
111,"Furnished 5bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,340000000.0,enterprise,500.0,5.0,6.0,Furnished
112,"Furnished 4bdrm Duplex in Wtc Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,260000000.0,enterprise,500.0,4.0,5.0,Furnished
113,"Furnished 4bdrm Duplex in Valley, Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,149000000.0,enterprise,500.0,4.0,5.0,Furnished
114,"4bdrm Duplex in Lekki County Homes, for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,280000000.0,False,400.0,4.0,5.0,Unfurnished
115,"Furnished 5bdrm Duplex in Almond Garden Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,290000000.0,enterprise,600.0,5.0,6.0,Furnished
116,"Furnished 4bdrm Duplex in Valley Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,240000000.0,enterprise,600.0,4.0,5.0,Furnished
117,"Furnished 7bdrm Duplex in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,490000000.0,enterprise,1000.0,7.0,8.0,Furnished
118,"5bdrm Duplex in Police Housing, Kurudu for sale","Abuja (Fct), Kurudu",Kurudu,Abuja (Fct),270000000.0,False,1000.0,5.0,5.0,Semi-Furnished
119,"Furnished 5bdrm Duplex in Old Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,200000000.0,enterprise,500.0,5.0,6.0,Furnished
120,"Furnished 5bdrm Duplex in Diamond Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,600.0,5.0,6.0,Furnished
121,"Furnished 5bdrm Duplex in Diamond Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,500.0,5.0,6.0,Furnished
122,"Furnished 4bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,500.0,4.0,5.0,Furnished
123,"3bdrm Bungalow in Elebu, Off Akala, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,27000000.0,enterprise,361.0,3.0,5.0,Unfurnished
124,"Furnished 5bdrm Duplex in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,240000000.0,enterprise,600.0,5.0,6.0,Furnished
125,"Furnished 6bdrm Duplex in Elshama, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,600.0,6.0,7.0,Furnished
126,"Furnished 5bdrm Duplex in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,180000000.0,enterprise,500.0,5.0,6.0,Furnished
127,"Furnished 4bdrm Bungalow in Abakpa, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,40000000.0,enterprise,600.0,4.0,5.0,Furnished
128,"Furnished 1bdrm Apartment in Elerinko, Ado-Odo/Ota for sale","Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,29000000.0,False,150.0,1.0,1.0,Furnished
129,"Furnished 5bdrm Duplex in Republic Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,210000000.0,enterprise,600.0,5.0,6.0,Furnished
130,"Furnished 6bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,500000000.0,enterprise,1000.0,6.0,7.0,Furnished
131,"Furnished 5bdrm Duplex in Republic Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,450000000.0,enterprise,1000.0,5.0,6.0,Furnished
132,Furnished 7bdrm Duplex in Centenary City Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,330000000.0,enterprise,1000.0,7.0,8.0,Furnished
133,3bdrm Bungalow in Asanpa Owo Estate for sale,"Ibadan, Oluyole Estate",Oluyole Estate,Ibadan,35000000.0,vip_gold,361.0,3.0,3.0,Semi-Furnished
134,"Furnished 4bdrm Duplex in Wtc Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,150000000.0,enterprise,500.0,4.0,5.0,Furnished
135,"Furnished 5bdrm Duplex in Almond Garden, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,190000000.0,enterprise,500.0,5.0,6.0,Furnished
136,"8bdrm Duplex in Mowo Extension, Badagry for sale","Lagos State, Badagry",Badagry,Lagos State,45000000.0,False,668.0,8.0,4.0,Semi-Furnished
137,2bdrm Block of Flats in Ago Palace for sale,"Isolo, Ago Palace",Ago Palace,Isolo,270000000.0,diamond,600.0,2.0,2.0,Unfurnished
138,"Furnished 3bdrm Bungalow in Almond Garden, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,100000000.0,enterprise,500.0,3.0,4.0,Furnished
139,"Furnished 4bdrm Duplex in Chime Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,290000000.0,enterprise,600.0,4.0,5.0,Furnished
140,"Furnished 4bdrm Farm House in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,150000000.0,enterprise,500.0,4.0,5.0,Furnished
141,"Furnished 6bdrm Duplex in Transekulu, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,2000.0,6.0,7.0,Furnished
142,"3bdrm Apartment in Horizon 1, Ikate for sale","Lekki, Ikate",Ikate,Lekki,130000000.0,False,150.0,3.0,3.0,Unfurnished
143,"Furnished 4bdrm Duplex in Wtc, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,240000000.0,enterprise,600.0,4.0,5.0,Furnished
144,"Furnished 5bdrm Duplex in Gra, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,300000000.0,enterprise,500.0,5.0,5.0,Furnished
145,Furnished 4bdrm Duplex in Wtc Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,170000000.0,enterprise,550.0,4.0,5.0,Furnished
146,"Furnished 5bdrm Duplex in Phase 6 Extension, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,175000000.0,enterprise,600.0,5.0,6.0,Furnished
147,"Furnished 4bdrm Duplex in Elshama, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,200000000.0,enterprise,500.0,4.0,5.0,Furnished
148,"Furnished 4bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,600.0,4.0,5.0,Furnished
149,Furnished 2bdrm Bungalow in Ayobo for sale,"Ipaja, Ayobo",Ayobo,Ipaja,52000000.0,diamond,300.0,2.0,3.0,Furnished
150,"3bdrm Bungalow in Gospel Town, Ojoo for sale","Ibadan, Ojoo",Ojoo,Ibadan,50000000.0,vip_gold,500.0,3.0,3.0,Semi-Furnished
151,"Furnished 4bdrm Duplex in Independent Layout, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,200000000.0,enterprise,500.0,4.0,5.0,Furnished
152,"3bdrm House in Taye Moganna, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,11000000.0,False,26.0,3.0,3.0,Unfurnished
153,"Furnished 4bdrm Duplex in Emene, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,150000000.0,enterprise,500.0,4.0,5.0,Furnished
154,"Furnished 5bdrm Duplex in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,480000000.0,enterprise,500.0,5.0,6.0,Furnished
155,"Furnished 5bdrm Duplex in Elshama Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,340000000.0,enterprise,600.0,5.0,6.0,Furnished
156,"Furnished 4bdrm Duplex in Valley Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,150000000.0,enterprise,600.0,4.0,5.0,Furnished
157,"Furnished 4bdrm Duplex in Jedediah Extension, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,130000000.0,enterprise,500.0,4.0,5.0,Furnished
158,"Furnished 4bdrm Duplex in Thinkers Corner By, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,200000000.0,enterprise,500.0,4.0,5.0,Furnished
159,"Furnished 4bdrm Bungalow in Transekulu, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,100000000.0,enterprise,500.0,4.0,5.0,Furnished
160,"3bdrm Duplex in Transekulu, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,55000000.0,enterprise,500.0,3.0,4.0,Semi-Furnished
161,"Furnished 5bdrm Duplex in Chime Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,250000000.0,enterprise,1000.0,5.0,6.0,Furnished
162,"Furnished 6bdrm Duplex in Thinkers Corner, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,240000000.0,enterprise,500.0,6.0,7.0,Furnished
163,"Furnished 4bdrm Duplex in Wtc, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,140000000.0,enterprise,450.0,4.0,5.0,Furnished
164,"Furnished 4bdrm Bungalow in Almond Garden Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,120000000.0,enterprise,500.0,4.0,5.0,Furnished
165,Furnished 5bdrm Duplex in Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,260000000.0,enterprise,600.0,5.0,6.0,Furnished
166,"4bdrm Mansion in River Park Estate, Lugbe District for sale","Abuja (Fct), Lugbe District",Lugbe District,Abuja (Fct),195000000.0,vip_gold,600.0,4.0,5.0,Semi-Furnished
